entorno,bytes,rondas,I_media,I_mediana,I_p95,IA_media,IA_mediana,IA_p95,FS_media,FS_mediana,FS_p95,FSA_media,FSA_mediana,FSA_p95
macOS_Safari,4,5,20.33,20,25,20.80,20,25,9.07,9,10,10.40,10,13
macOS_Safari,8,6,23.77,23,28,25.83,25,31,10.63,10,12,12.53,12,14
macOS_Safari,16,7,27.90,27,30,31.80,31,34,13.97,14,16,17.80,17,20
macOS_Safari,32,8,35.50,35,39,43.07,43,46,19.93,20,22,26.87,27,30
macOS_Safari,64,9,46.83,46,51,59.80,59,63,29.57,29,32,43.30,43,47
macOS_Safari,128,10,67.37,67,72,90.27,90,93,48.70,48,52,74.33,74,78
macOS_Safari,256,11,151.27,102,432,237.60,149,736,144.73,99,435,234.27,150,696
macOS_Firefox,4,5,14.90,15,17,16.03,16,20,6.60,6,8,7.67,8,9
macOS_Firefox,8,6,16.70,17,19,17.27,17,19,7.20,7,9,8.60,8,11
macOS_Firefox,16,7,19.77,20,23,20.90,21,23,9.10,9,11,11.40,11.5,13
macOS_Firefox,32,8,23.53,23,27,28.60,28,32,12.67,13,15,16.27,16,17
macOS_Firefox,64,9,30.83,31,34,38.23,38,42,18.57,18,21,27.83,28,30
macOS_Firefox,128,10,43.67,43,53,55.93,57,61,30.00,30,33,45.33,45,48
macOS_Firefox,256,11,65.90,66,69,92.27,92,96,55.43,55,58,86.07,87,90
Windows_Edge,4,5,20.28,20.3,21.8,20.92,20.95,23.2,9.60,9.55,10.5,10.57,10.35,11.7
Windows_Edge,8,6,22.35,22.25,23.7,23.69,23.3,25.8,10.32,10.5,11.3,55.68,54.65,61.5
Windows_Edge,16,7,29.46,27.9,35.9,31.75,30,41.1,13.73,13.15,18,62.77,62.9,69.1
Windows_Edge,32,8,34.19,33,41.6,39.82,38.4,53.4,61.97,61.25,66.6,70.45,69.85,79.4
Windows_Edge,64,9,44.57,43.5,51,53.87,53.4,60.8,71.68,71.75,75.7,80.63,80.1,88.1
Windows_Edge,128,10,61.22,61.05,69,81.23,80.75,90.8,87.33,86.55,93.8,109.64,110.05,110.9
Windows_Edge,256,11,84.90,82.75,93.9,121.86,116.4,141.6,111.67,111.05,123,154.21,150.6,170.3
Windows_Chrome,4,5,24.39,24.1,26.6,24.75,24.75,26.6,10.85,10.8,12,11.39,11.45,11.9
Windows_Chrome,8,6,26.18,26.15,29.1,27.30,27,30.6,11.55,11.5,12.5,57.07,55.75,65
Windows_Chrome,16,7,31.03,30.85,34.7,33.97,33.3,39.9,13.85,13.5,16,62.22,62.45,65.5
Windows_Chrome,32,8,37.34,36.9,43.5,41.14,40.7,44.6,63.17,62.95,72.1,70.37,70,74
Windows_Chrome,64,9,49.27,47.7,63.9,59.00,55.8,83.6,72.15,69.45,96.9,80.63,80,89.8
Windows_Chrome,128,10,58.22,57.8,60.8,72.94,72.8,76.5,79.35,79.1,83.1,100.25,99.85,102.9
Windows_Chrome,256,11,96.55,95.15,120.6,132.35,130.75,155.4,114.88,112.7,133.6,157.23,159.7,179.7
Windows_Firefox,4,5,28.90,29,32,30.30,30,35,12.40,12,15,12.93,13,15
Windows_Firefox,8,6,33.37,33,37,34.77,34.5,40,13.27,13,15,15.23,15,18
Windows_Firefox,16,7,38.20,38,42,40.40,40,45,15.77,16,17,18.33,18,20
Windows_Firefox,32,8,43.97,43.5,48,48.67,48,52,19.23,19,21,24.90,25,27
Windows_Firefox,64,9,53.37,53,57,62.37,62,66,26.70,27,28,37.23,37,39
Windows_Firefox,128,10,68.63,68.5,78,90.07,87.5,103,42.27,41.5,50,64.43,62,73
Windows_Firefox,256,11,97.47,97,103,134.27,133,140,70.33,70,74,111.67,111,117
